"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PLM00012566","BALICE, PL","2021-01-27","0.5","61.0","-1.5",,
"PLM00012566","BALICE, PL","2021-01-28","0.0","51.0","-2.2","2.0","-9.8"
"PLM00012566","BALICE, PL","2021-01-29","1.0","51.0","-0.4",,"-3.2"
"PLM00012566","BALICE, PL","2021-01-30","3.0","109.0","-1.6","3.1",
"PLM00012566","BALICE, PL","2021-01-31","2.0","89.0","-6.3","-2.0",
"PLM00012566","BALICE, PL","2021-02-01","0.0","89.0","-7.4",,"-13.1"
"PLM00012566","BALICE, PL","2021-02-02","0.0","89.0","-2.1","2.3",
"PLM00012566","BALICE, PL","2021-02-03","2.3","51.0","3.9",,"0.0"
"PLM00012566","BALICE, PL","2021-02-04","5.8",,"4.2",,
"PLM00012566","BALICE, PL","2021-02-05","2.8",,"-0.5","2.3",
"PLM00012566","BALICE, PL","2021-02-06","0.0","10.0","-2.6","-0.7",
"PLM00012566","BALICE, PL","2021-02-07","0.8","41.0","-7.5","-2.3",
"PLM00012566","BALICE, PL","2021-02-08","8.4","61.0","-6.4",,"-8.1"
"PLM00012566","BALICE, PL","2021-02-09","1.5","61.0","-5.8","-3.6",
"PLM00012566","BALICE, PL","2021-02-10","0.0","71.0","-4.9",,
"PLM00012566","BALICE, PL","2021-02-13",,,"-4.0",,"-10.1"
"PLM00012566","BALICE, PL","2021-02-14","0.0","140.0","-4.8","-2.5",
"PLM00012566","BALICE, PL","2021-02-15","0.0","130.0","-6.8","-2.2",
"PLM00012566","BALICE, PL","2021-02-16","0.0","109.0","-5.3",,
"PLM00012566","BALICE, PL","2021-02-17","3.0","99.0","0.4",,
"PLM00012566","BALICE, PL","2021-02-18","3.0","41.0","1.2","3.3",
"PLM00012566","BALICE, PL","2021-02-19","0.0","30.0","-0.8",,
"PLM00012566","BALICE, PL","2021-02-20",,,"2.6","9.3",
"PLM00012566","BALICE, PL","2021-02-21",,,"2.3","12.5",
"PLM00012566","BALICE, PL","2021-02-22","0.0",,"3.3","12.3",
"PLM00012566","BALICE, PL","2021-02-23","0.0",,"3.0",,"-2.2"
"PLM00012566","BALICE, PL","2021-02-24","0.0",,"6.4","17.1","-0.2"
"PLM00012566","BALICE, PL","2021-02-25","0.0",,"7.5","19.8","-0.8"
"PLM00012566","BALICE, PL","2021-02-26","0.0",,"8.1",,"0.9"
"PLM00012566","BALICE, PL","2021-02-27","5.1",,"4.3","10.5",
"PLM00012566","BALICE, PL","2021-02-28","0.0",,"3.8","7.2",
"PLM00012566","BALICE, PL","2021-03-01","0.0",,"3.8","6.0",
"PLM00012566","BALICE, PL","2021-03-02","0.0",,"4.2","13.2",
"PLM00012566","BALICE, PL","2021-03-03","0.0",,"6.6","17.5",
"PLM00012566","BALICE, PL","2021-03-04","0.0",,"7.1",,"1.8"
"PLM00012566","BALICE, PL","2021-03-05","5.8","20.0","0.3","7.7",
"PLM00012566","BALICE, PL","2021-03-06","1.3","10.0","-0.9","3.6","-4.5"
"PLM00012566","BALICE, PL","2021-03-07","0.0",,"1.1","6.4","-3.0"
"PLM00012566","BALICE, PL","2021-03-08","0.0","10.0","-0.4","3.0",
"PLM00012566","BALICE, PL","2021-03-09","0.5",,"-2.2","2.0","-7.1"
"PLM00012566","BALICE, PL","2021-03-10","0.0",,"-2.0","2.7","-7.0"
"PLM00012566","BALICE, PL","2021-03-11","0.3",,"-0.3",,"-8.1"
"PLM00012566","BALICE, PL","2021-03-12","1.0",,"5.3","9.0",
"PLM00012566","BALICE, PL","2021-03-13","2.8",,"5.8",,"-3.1"
"PLM00012566","BALICE, PL","2021-03-14","0.0",,"6.3","10.6",
"PLM00012566","BALICE, PL","2021-03-15","0.0",,"2.9","7.4",
"PLM00012566","BALICE, PL","2021-03-16","0.0",,"2.0","7.6",
"PLM00012566","BALICE, PL","2021-03-17","0.0",,"3.4",,
"PLM00012566","BALICE, PL","2021-03-18","0.0",,"1.4",,
"PLM00012566","BALICE, PL","2021-03-19","0.0",,"-1.7","2.1","-5.3"
"PLM00012566","BALICE, PL","2021-03-20","0.5","10.0","-1.9","1.2",
"PLM00012566","BALICE, PL","2021-03-21","0.0",,"-2.1",,"-6.4"
"PLM00012566","BALICE, PL","2021-03-22","0.3","10.0","1.9","5.6",
"PLM00012566","BALICE, PL","2021-03-23","0.0",,"3.9",,"-0.8"
"PLM00012566","BALICE, PL","2021-03-24","0.0",,"5.2","7.0","3.9"
"PLM00012566","BALICE, PL","2021-03-25","0.0",,"4.9","10.1",
"PLM00012566","BALICE, PL","2021-03-26","0.0",,"6.7","15.5","-2.1"
"PLM00012566","BALICE, PL","2021-03-27",,,"8.8","19.2","-0.5"
"PLM00012566","BALICE, PL","2021-03-28","2.0",,"5.4","10.1",
"PLM00012566","BALICE, PL","2021-03-29","0.0",,"6.8",,"-1.0"
"PLM00012566","BALICE, PL","2021-03-30","3.8",,"10.7",,
"PLM00012566","BALICE, PL","2021-03-31","0.3",,"12.7","22.3",
"PLM00012566","BALICE, PL","2021-04-01","0.0",,"14.3","22.4","5.8"
"PLM00012566","BALICE, PL","2021-04-02","3.0",,"7.4","15.0",
"PLM00012566","BALICE, PL","2021-04-03","0.0",,"4.1","7.1",
"PLM00012566","BALICE, PL","2021-04-04","0.5",,"2.8",,
"PLM00012566","BALICE, PL","2021-04-05","0.0",,"5.4","14.5",
"PLM00012566","BALICE, PL","2021-04-06","2.8","10.0","0.7","11.3",
"PLM00012566","BALICE, PL","2021-04-07","0.0",,"0.7","5.1",
"PLM00012566","BALICE, PL","2021-04-08","1.5","20.0","1.1","6.1","-3.3"
"PLM00012566","BALICE, PL","2021-04-09","0.8",,"4.7","12.0","-3.6"
"PLM00012566","BALICE, PL","2021-04-10","0.0",,"10.4","19.2",
"PLM00012566","BALICE, PL","2021-04-11","3.0",,"10.2","19.1","0.6"
"PLM00012566","BALICE, PL","2021-04-12","0.0",,"9.8","17.0","3.9"
"PLM00012566","BALICE, PL","2021-04-13","4.8",,"2.2","8.6",
"PLM00012566","BALICE, PL","2021-04-14","11.4","20.0","2.1","4.4",
"PLM00012566","BALICE, PL","2021-04-15","1.5",,"2.2","3.3",
"PLM00012566","BALICE, PL","2021-04-16","4.8",,"2.6",,
"PLM00012566","BALICE, PL","2021-04-17","8.1",,"3.9","5.0","2.7"
"PLM00012566","BALICE, PL","2021-04-18","1.8",,"6.3",,
"PLM00012566","BALICE, PL","2021-04-19","1.3",,"6.9","11.8","2.7"
"PLM00012566","BALICE, PL","2021-04-20","3.3",,"8.8","14.1","2.8"
"PLM00012566","BALICE, PL","2021-04-21","4.3",,"10.2",,
"PLM00012566","BALICE, PL","2021-04-22","1.0",,"7.3","11.1",
"PLM00012566","BALICE, PL","2021-04-23","1.8",,"4.7","9.0","-0.4"
"PLM00012566","BALICE, PL","2021-04-24","2.0",,"7.9",,
"PLM00012566","BALICE, PL","2021-04-25","0.0",,"6.6","10.6",
"PLM00012566","BALICE, PL","2021-04-26","0.0",,"4.3","9.4","-2.1"
"PLM00012566","BALICE, PL","2021-04-27","0.0",,"5.4","10.8",
"PLM00012566","BALICE, PL","2021-04-28","0.0",,"8.8","16.0","-0.4"
"PLM00012566","BALICE, PL","2021-04-29","0.0",,"12.1","19.5","1.6"
"PLM00012566","BALICE, PL","2021-04-30","3.3",,"13.9",,
"PLM00012566","BALICE, PL","2021-05-01","4.3",,"9.9","15.3",
"PLM00012566","BALICE, PL","2021-05-02","4.3",,"9.7",,
"PLM00012566","BALICE, PL","2021-05-03","7.1",,"7.4","11.4",
"PLM00012566","BALICE, PL","2021-05-04","0.0",,"10.8",,"-0.5"
"PLM00012566","BALICE, PL","2021-05-05","0.8",,"12.6","20.1",
"PLM00012566","BALICE, PL","2021-05-06","0.0",,"9.1","13.2",
"PLM00012566","BALICE, PL","2021-05-07","2.0",,"9.7","15.3",
"PLM00012566","BALICE, PL","2021-05-08","1.0",,"7.4","13.3",
"PLM00012566","BALICE, PL","2021-05-09","0.0",,"13.1","23.1","0.1"
"PLM00012566","BALICE, PL","2021-05-10","0.0",,"17.7",,"5.8"
"PLM00012566","BALICE, PL","2021-05-11","0.0",,"19.9","29.0","8.1"
"PLM00012566","BALICE, PL","2021-05-12","0.0",,"19.3","26.6","10.5"
"PLM00012566","BALICE, PL","2021-05-13","0.3",,"15.2","22.4","12.2"
"PLM00012566","BALICE, PL","2021-05-14","2.0",,"13.4","17.2",
"PLM00012566","BALICE, PL","2021-05-15","0.0",,"14.1","20.4","9.0"
"PLM00012566","BALICE, PL","2021-05-16","8.1",,"12.6","16.0",
"PLM00012566","BALICE, PL","2021-05-17","0.0",,"11.6",,
"PLM00012566","BALICE, PL","2021-05-18","23.1",,"11.4",,
"PLM00012566","BALICE, PL","2021-05-19","2.5",,"11.4",,
"PLM00012566","BALICE, PL","2021-05-20","0.0",,"13.2",,
"PLM00012566","BALICE, PL","2021-05-21","0.0",,"13.7",,"5.4"
"PLM00012566","BALICE, PL","2021-05-22","0.0",,"12.1",,
"PLM00012566","BALICE, PL","2021-05-23","5.3",,"11.3","18.4","4.8"
"PLM00012566","BALICE, PL","2021-05-24","1.3",,"14.1",,"4.6"
"PLM00012566","BALICE, PL","2021-05-25","6.1",,"11.9","18.2",
"PLM00012566","BALICE, PL","2021-05-26","0.0",,"13.3","20.1","4.6"
"PLM00012566","BALICE, PL","2021-05-27","0.0",,"14.2","18.8","8.9"
"PLM00012566","BALICE, PL","2021-05-28","0.0",,"13.1",,
"PLM00012566","BALICE, PL","2021-05-29","1.0",,"10.4","15.3",
"PLM00012566","BALICE, PL","2021-05-30","11.4",,"12.2",,
"PLM00012566","BALICE, PL","2021-05-31","0.0",,"13.1","17.9",
"PLM00012566","BALICE, PL","2021-06-01","0.0",,"12.4","18.6",
"PLM00012566","BALICE, PL","2021-06-02","0.0",,"13.7","20.0","5.6"
"PLM00012566","BALICE, PL","2021-06-03","0.0",,"15.3","22.3",
"PLM00012566","BALICE, PL","2021-06-04","0.0",,"17.7","24.6","7.5"
"PLM00012566","BALICE, PL","2021-06-05","0.5",,"16.6",,
"PLM00012566","BALICE, PL","2021-06-06","0.8",,"17.8","24.3",
"PLM00012566","BALICE, PL","2021-06-07","0.0",,"18.9","25.0","10.9"
"PLM00012566","BALICE, PL","2021-06-08","0.0",,"19.6","26.8","10.0"
"PLM00012566","BALICE, PL","2021-06-09","0.0",,"19.8","25.8","12.8"
"PLM00012566","BALICE, PL","2021-06-10","0.0",,"18.3","24.6",
"PLM00012566","BALICE, PL","2021-06-11","0.0",,"17.1","24.1",
"PLM00012566","BALICE, PL","2021-06-12","0.8",,"17.9","26.1","10.9"
"PLM00012566","BALICE, PL","2021-06-13","11.2",,"14.1","18.9",
"PLM00012566","BALICE, PL","2021-06-14","0.0",,"16.0","21.8",
"PLM00012566","BALICE, PL","2021-06-15","0.0",,"17.6","25.1",
"PLM00012566","BALICE, PL","2021-06-16","0.0",,"20.3","27.2",
"PLM00012566","BALICE, PL","2021-06-17","0.0",,"21.7","28.0",
"PLM00012566","BALICE, PL","2021-06-18","0.0",,"23.3","30.3","14.6"
"PLM00012566","BALICE, PL","2021-06-19","0.0",,"24.2",,
"PLM00012566","BALICE, PL","2021-06-20","0.0",,"23.9","30.6","16.6"
"PLM00012566","BALICE, PL","2021-06-21","0.0",,"24.9","31.1","17.8"
"PLM00012566","BALICE, PL","2021-06-22","19.1",,"23.5","31.5",
"PLM00012566","BALICE, PL","2021-06-23","0.0",,"22.3",,"19.9"
"PLM00012566","BALICE, PL","2021-06-24","8.9",,"23.8","32.0",
"PLM00012566","BALICE, PL","2021-06-25","25.9",,"19.3","22.3","15.9"
"PLM00012566","BALICE, PL","2021-06-26","0.0",,"19.0","23.5",
"PLM00012566","BALICE, PL","2021-06-27","10.2",,"19.3","25.4","13.8"
"PLM00012566","BALICE, PL","2021-06-28","0.0",,"21.2","28.1","13.7"
"PLM00012566","BALICE, PL","2021-06-29","3.0",,"22.0","27.7",
"PLM00012566","BALICE, PL","2021-06-30","3.0",,"21.8","26.4",
"PLM00012566","BALICE, PL","2021-07-01","0.0",,"18.3","23.9","15.8"
"PLM00012566","BALICE, PL","2021-07-02","0.0",,"18.1","22.0",
"PLM00012566","BALICE, PL","2021-07-03","0.0",,"17.9","20.6",
"PLM00012566","BALICE, PL","2021-07-04","0.5",,"19.6",,
"PLM00012566","BALICE, PL","2021-07-05","0.0",,"20.8",,"12.7"
"PLM00012566","BALICE, PL","2021-07-06","0.0",,"22.8","29.2","14.9"
"PLM00012566","BALICE, PL","2021-07-07","0.0",,"25.1",,
"PLM00012566","BALICE, PL","2021-07-08","0.0",,"24.9","32.5",
"PLM00012566","BALICE, PL","2021-07-09","8.9",,"23.7","31.1",
"PLM00012566","BALICE, PL","2021-07-10","5.1",,"20.1",,"16.6"
"PLM00012566","BALICE, PL","2021-07-11","3.0",,"20.1","26.1",
"PLM00012566","BALICE, PL","2021-07-12","6.4",,"18.1","22.4",
"PLM00012566","BALICE, PL","2021-07-13","10.4",,"22.8",,
"PLM00012566","BALICE, PL","2021-07-14","0.0",,"24.8",,
"PLM00012566","BALICE, PL","2021-07-15","22.1",,"21.2","26.1","17.6"
"PLM00012566","BALICE, PL","2021-07-16","27.9",,"22.8","28.1","19.0"
"PLM00012566","BALICE, PL","2021-07-17","6.4",,"22.8","28.4",
"PLM00012566","BALICE, PL","2021-07-18","17.8",,"22.1",,
"PLM00012566","BALICE, PL","2021-07-19","1.8",,"21.5",,
"PLM00012566","BALICE, PL","2021-07-20","2.3",,"17.1","21.6","15.7"
"PLM00012566","BALICE, PL","2021-07-21","1.0",,"19.0","24.0","14.8"
"PLM00012566","BALICE, PL","2021-07-22","0.0",,"18.8",,"15.9"
"PLM00012566","BALICE, PL","2021-07-23","0.0",,"20.3","25.0",
"PLM00012566","BALICE, PL","2021-07-24","0.0",,"21.6","27.6","14.9"
"PLM00012566","BALICE, PL","2021-07-25","2.0",,"20.6","27.3","15.0"
"PLM00012566","BALICE, PL","2021-07-26","8.9",,"22.8","28.7","18.0"
"PLM00012566","BALICE, PL","2021-07-27","20.6",,"22.4","28.2",
"PLM00012566","BALICE, PL","2021-07-28","0.0",,"24.1","30.4",
"PLM00012566","BALICE, PL","2021-07-29","2.8",,"21.9",,
"PLM00012566","BALICE, PL","2021-07-30","0.0",,"21.9","28.3",
"PLM00012566","BALICE, PL","2021-07-31","0.0",,"20.6","26.7",
"PLM00012566","BALICE, PL","2021-08-01","3.0",,"18.9","23.2",
"PLM00012566","BALICE, PL","2021-08-02","10.4",,"16.4","22.0",
"PLM00012566","BALICE, PL","2021-08-03","0.5",,"17.8","24.2",
"PLM00012566","BALICE, PL","2021-08-04","0.0",,"18.7","23.2","14.0"
"PLM00012566","BALICE, PL","2021-08-05","8.1",,"16.4","21.0",
"PLM00012566","BALICE, PL","2021-08-06","39.9",,"15.3","19.1",
"PLM00012566","BALICE, PL","2021-08-07","0.5",,"18.9","26.5",
"PLM00012566","BALICE, PL","2021-08-08","0.0",,"19.9","24.4",
"PLM00012566","BALICE, PL","2021-08-09","18.3",,"19.7","25.7",
"PLM00012566","BALICE, PL","2021-08-10","0.0",,"21.2","27.9",
"PLM00012566","BALICE, PL","2021-08-11","2.5",,"20.1","25.1","15.0"
"PLM00012566","BALICE, PL","2021-08-12","0.0",,"18.4","24.5",
"PLM00012566","BALICE, PL","2021-08-13","0.0",,"20.4","28.4","10.9"
"PLM00012566","BALICE, PL","2021-08-14","0.0",,"23.1",,"16.0"
"PLM00012566","BALICE, PL","2021-08-15",,,"23.8","30.6",
"PLM00012566","BALICE, PL","2021-08-16","0.0",,"23.4",,"17.7"
"PLM00012566","BALICE, PL","2021-08-17","15.2",,"15.5","25.0",
"PLM00012566","BALICE, PL","2021-08-18","0.8",,"15.3","20.6",
"PLM00012566","BALICE, PL","2021-08-19","0.0",,"16.9","23.0","10.7"
"PLM00012566","BALICE, PL","2021-08-20","0.0",,"19.2",,
"PLM00012566","BALICE, PL","2021-08-21","0.0",,"18.6","24.2",
"PLM00012566","BALICE, PL","2021-08-22","0.0",,"19.1",,"10.9"
"PLM00012566","BALICE, PL","2021-08-23","8.1",,"17.7","21.4",
"PLM00012566","BALICE, PL","2021-08-24","8.6",,"14.1","18.0",
"PLM00012566","BALICE, PL","2021-08-25","6.9",,"12.3","17.7","7.9"
"PLM00012566","BALICE, PL","2021-08-26","0.0",,"12.3","17.1","7.4"
"PLM00012566","BALICE, PL","2021-08-27","0.5",,"13.4",,
"PLM00012566","BALICE, PL","2021-08-28","1.5",,"13.8","20.1",
"PLM00012566","BALICE, PL","2021-08-29","0.0",,"14.6",,
"PLM00012566","BALICE, PL","2021-08-30","17.0",,"13.1",,
"PLM00012566","BALICE, PL","2021-08-31","20.8",,"13.9",,
"PLM00012566","BALICE, PL","2021-09-01","31.2",,"14.5","18.6",
"PLM00012566","BALICE, PL","2021-09-02","0.0",,"14.9",,
"PLM00012566","BALICE, PL","2021-09-03","0.0",,"15.3",,"10.0"
"PLM00012566","BALICE, PL","2021-09-04","0.0",,"15.2","20.6","9.8"
"PLM00012566","BALICE, PL","2021-09-05","0.0",,"12.6","18.2",
"PLM00012566","BALICE, PL","2021-09-06","0.0",,"11.9","19.4","5.6"
"PLM00012566","BALICE, PL","2021-09-07","0.0",,"14.1",,
"PLM00012566","BALICE, PL","2021-09-08","0.0",,"16.7","25.2","8.9"
"PLM00012566","BALICE, PL","2021-09-09","0.0",,"16.6","25.4","8.7"
"PLM00012566","BALICE, PL","2021-09-10","0.0",,"16.4","25.7",
"PLM00012566","BALICE, PL","2021-09-11","0.0",,"16.8","25.8",
"PLM00012566","BALICE, PL","2021-09-12","0.0",,"17.7",,
"PLM00012566","BALICE, PL","2021-09-13","0.0",,"17.6",,
"PLM00012566","BALICE, PL","2021-09-14","0.0",,"16.6","22.8",
"PLM00012566","BALICE, PL","2021-09-15","0.0",,"16.8","24.8","9.5"
"PLM00012566","BALICE, PL","2021-09-16","0.0",,"18.7","23.5",
"PLM00012566","BALICE, PL","2021-09-17","12.2",,"14.8","19.7",
"PLM00012566","BALICE, PL","2021-09-18","13.7",,"13.2",,
"PLM00012566","BALICE, PL","2021-09-19","2.8",,"10.3","13.1",
"PLM00012566","BALICE, PL","2021-09-20","0.0",,"9.7","11.6",
"PLM00012566","BALICE, PL","2021-09-21","1.3",,"9.4",,"4.5"
"PLM00012566","BALICE, PL","2021-09-22","5.3",,"9.8",,
"PLM00012566","BALICE, PL","2021-09-23","0.3",,"12.9","17.6",
"PLM00012566","BALICE, PL","2021-09-24","0.3",,"13.6","16.5",
"PLM00012566","BALICE, PL","2021-09-25","0.0",,"15.9",,"10.0"
"PLM00012566","BALICE, PL","2021-09-26","0.0",,"16.7","22.3",
"PLM00012566","BALICE, PL","2021-09-27","0.0",,"15.2","21.3",
"PLM00012566","BALICE, PL","2021-09-28","0.0",,"11.3","16.7","7.7"
"PLM00012566","BALICE, PL","2021-09-29","0.0",,"10.7","15.6",
"PLM00012566","BALICE, PL","2021-09-30","4.3",,"11.8","14.1",
"PLM00012566","BALICE, PL","2021-10-01","0.0",,"9.4","16.1","4.8"
"PLM00012566","BALICE, PL","2021-10-02","0.0",,"12.0","20.6",
"PLM00012566","BALICE, PL","2021-10-03","0.0",,"12.3","21.3","4.5"
"PLM00012566","BALICE, PL","2021-10-04","0.0",,"14.7","23.9",
"PLM00012566","BALICE, PL","2021-10-05","0.0",,"15.9","25.0","9.9"
"PLM00012566","BALICE, PL","2021-10-06","1.5",,"12.3","16.9","10.5"
"PLM00012566","BALICE, PL","2021-10-07","7.4",,"11.2","15.0",
"PLM00012566","BALICE, PL","2021-10-08","0.0",,"7.1",,"2.5"
"PLM00012566","BALICE, PL","2021-10-09","0.0",,"5.6","11.5","0.7"
"PLM00012566","BALICE, PL","2021-10-10","0.0",,"5.2","11.6",
"PLM00012566","BALICE, PL","2021-10-11","0.0",,"6.1","13.5","-0.3"
"PLM00012566","BALICE, PL","2021-10-12","0.5",,"8.1","12.4","5.3"
"PLM00012566","BALICE, PL","2021-10-13","2.8",,"6.0","8.8","4.8"
"PLM00012566","BALICE, PL","2021-10-14","1.8",,"6.9","12.1","3.4"
"PLM00012566","BALICE, PL","2021-10-15","0.0",,"9.7","14.4","5.5"
"PLM00012566","BALICE, PL","2021-10-16","0.0",,"8.1","10.4",
"PLM00012566","BALICE, PL","2021-10-17","0.0",,"6.8","12.2",
"PLM00012566","BALICE, PL","2021-10-18","0.3",,"7.3","9.3","3.8"
"PLM00012566","BALICE, PL","2021-10-19","0.3",,"9.7","17.1","4.6"
"PLM00012566","BALICE, PL","2021-10-20","0.0",,"14.1","22.0","5.8"
"PLM00012566","BALICE, PL","2021-10-21","0.0",,"12.4","18.5","6.9"
"PLM00012566","BALICE, PL","2021-10-22","0.0",,"9.8","14.0",
"PLM00012566","BALICE, PL","2021-10-23","1.0",,"6.1","10.1",
"PLM00012566","BALICE, PL","2021-10-24","0.0",,"5.2","12.0",
"PLM00012566","BALICE, PL","2021-10-25","0.0",,"4.6","14.6","-2.4"
"PLM00012566","BALICE, PL","2021-10-26","0.0",,"5.1","14.1","-2.3"
"PLM00012566","BALICE, PL","2021-10-27","0.0",,"8.2","15.3",
"PLM00012566","BALICE, PL","2021-10-28","0.0",,"7.6","17.2","0.0"
"PLM00012566","BALICE, PL","2021-10-29","0.0",,"6.7","17.3",
"PLM00012566","BALICE, PL","2021-10-30","0.0",,"8.6",,"-0.1"
"PLM00012566","BALICE, PL","2021-10-31","0.0",,"8.2","18.3",
"PLM00012566","BALICE, PL","2021-11-01","0.0",,"6.8","17.3",
"PLM00012566","BALICE, PL","2021-11-02","1.0",,"7.5","8.5","5.0"
"PLM00012566","BALICE, PL","2021-11-03","14.7",,"8.6","14.6","3.0"
"PLM00012566","BALICE, PL","2021-11-04","0.8",,"10.1","19.1",
"PLM00012566","BALICE, PL","2021-11-05","0.0",,"6.8","11.0",
"PLM00012566","BALICE, PL","2021-11-06","0.0",,"6.2","11.7",
"PLM00012566","BALICE, PL","2021-11-07","0.0",,"5.5","12.2","-2.1"
"PLM00012566","BALICE, PL","2021-11-08","0.3",,"7.1","9.4","3.7"
"PLM00012566","BALICE, PL","2021-11-09","0.5",,"6.5","9.1",
"PLM00012566","BALICE, PL","2021-11-10","0.0",,"3.7","11.3",
"PLM00012566","BALICE, PL","2021-11-11","0.0",,"3.4","11.9",
"PLM00012566","BALICE, PL","2021-11-12","0.0",,"4.2","6.4","0.0"
"PLM00012566","BALICE, PL","2021-11-13","0.0",,"3.7","5.1",
"PLM00012566","BALICE, PL","2021-11-14","0.0",,"4.6","6.2","2.2"
"PLM00012566","BALICE, PL","2021-11-15","0.0",,"5.1","6.4","4.0"
"PLM00012566","BALICE, PL","2021-11-16","0.0",,"4.4","6.3",
"PLM00012566","BALICE, PL","2021-11-17","0.0",,"3.7",,"0.9"
"PLM00012566","BALICE, PL","2021-11-18","0.0",,"6.1","8.0","4.8"
"PLM00012566","BALICE, PL","2021-11-19","0.0",,"7.6",,"5.8"
"PLM00012566","BALICE, PL","2021-11-20","0.5",,"9.1","11.4",
"PLM00012566","BALICE, PL","2021-11-21","0.0",,"7.7","10.6","4.6"
"PLM00012566","BALICE, PL","2021-11-22","2.0",,"5.2","7.7",
"PLM00012566","BALICE, PL","2021-11-23",,,"2.9","5.2",
"PLM00012566","BALICE, PL","2021-11-24","0.3",,"3.2","5.7",
"PLM00012566","BALICE, PL","2021-11-25","0.0",,"0.4",,
"PLM00012566","BALICE, PL","2021-11-26","0.0",,"2.3",,"-2.0"
"PLM00012566","BALICE, PL","2021-11-27","18.5",,"2.7","5.2","0.9"
"PLM00012566","BALICE, PL","2021-11-28","0.5",,"2.8","4.1","0.7"
"PLM00012566","BALICE, PL","2021-11-29","1.5",,"0.9","3.8",
"PLM00012566","BALICE, PL","2021-11-30","0.0","10.0","1.7","3.3",
"PLM00012566","BALICE, PL","2021-12-01","3.3",,"4.3",,
"PLM00012566","BALICE, PL","2021-12-02","0.0",,"6.2","9.3",
"PLM00012566","BALICE, PL","2021-12-03","0.0",,"-0.2","4.1",
"PLM00012566","BALICE, PL","2021-12-04","0.0",,"-1.2","4.0","-7.1"
"PLM00012566","BALICE, PL","2021-12-05","1.0","10.0","1.1","2.2",
"PLM00012566","BALICE, PL","2021-12-06","2.3","10.0","0.9","2.2",
"PLM00012566","BALICE, PL","2021-12-07","3.3","10.0","-0.8","0.7",
"PLM00012566","BALICE, PL","2021-12-08","0.0","10.0","-3.3","-1.1",
"PLM00012566","BALICE, PL","2021-12-09","0.0","10.0","-2.3",,"-4.0"
"PLM00012566","BALICE, PL","2021-12-10","1.0","20.0","-0.7","2.1",
"PLM00012566","BALICE, PL","2021-12-11","0.0",,"-0.6","0.5",
"PLM00012566","BALICE, PL","2021-12-12","0.0",,"-0.8","3.4",
"PLM00012566","BALICE, PL","2021-12-13","0.0",,"-3.6","1.6",
"PLM00012566","BALICE, PL","2021-12-14","0.0",,"0.1",,"-3.3"
"PLM00012566","BALICE, PL","2021-12-15","0.0",,"3.4",,"1.4"
"PLM00012566","BALICE, PL","2021-12-16","0.0",,"5.6",,"4.5"
"PLM00012566","BALICE, PL","2021-12-17","0.0",,"4.1","6.6",
"PLM00012566","BALICE, PL","2021-12-18","0.5",,"2.4","4.1","1.5"
"PLM00012566","BALICE, PL","2021-12-19","0.0",,"4.1",,
"PLM00012566","BALICE, PL","2021-12-20","1.3",,"0.3","4.3",
